44086,311,Leaders,Nick,66,SR,DL
44090,311,Moorehead,Shawn,40,JR,LB
44091,311,Morris II,Jimmy,53,JR,LB
44092,311,O'Holleam,Chris,76,SR,OL
44094,311,Pence,Kory,72,SR,OL
44095,311,Rahe,David,12,JR,DB
44097,311,Robertson,Matthew,11,JR,LB
44101,311,Smith,Korey,29,JR,DL
44102,311,Smith,Kyle,46,JR,LB
44103,311,Soltis,Marc,41,JR,LB
44110,311,Van Winkle,Kyle,10,JR,QB
44113,311,Zehr,Seth,58,JR,OL
44116,463,Adams,Titus,96,SR,DL
44123,463,Bullocks,Daniel,14,SR,DB
44129,463,Evwaraye,Seppo,77,SR,OL
44131,463,Pike,Gary,56,SR,OL
44132,463,Helming,Jared,73,SR,OL
44136,463,Ross,Cory,4,SR,RB
44140,463,Smith,Le Kevin,66,SR,DL
44141,463,Stuntz,Mike,16,SR,DB
44148,463,Tiedtke,Blake,25,SR,DB
44149,463,LeFlore,Mark,9,SR,WR
44158,463,O'Shea,Matt,95,SR,DL
44160,463,Ickes,Adam,49,SR,LB
44161,463,Koch,Sam,37,SR,K
44164,463,Herian,Matt,11,SR,TE
44168,473,Baskett,Hank,18,SR,WR
44172,473,Byrd,Adrian,44,SR,RB
44173,473,Clayton,Justin,48,JR,LB
44175,473,Cook,Ryan,63,SR,OL
44183,473,Fulbright,Gabriel,23,SR,DB
44198,473,Malone,Jerrell,19,SR,DB
44201,473,McKamey,Kole,12,JR,QB
44203,473,Mohoric,Mike,56,SR,LB
44204,473,Moore,DonTrell,22,SR,RB
44207,473,Parker,Marcus,90,SR,DL
44208,473,Pennington,Terrance,79,SR,OL
44213,473,Selander,Joe,45,SR,LB
44228,490,Clark,Brian,87,SR,WR
44229,490,Davis,A.J.,3,JR,DB
44230,490,Deraney,John,12,JR,K
44237,490,Harris,Leroy,64,JR,OL
44238,490,Holt,Jon,79,JR,OL
44239,490,Hoyte,Oliver,22,SR,LB
44240,490,King,Tucker,35,SR,K
44242,490,Lawson,Manny,91,SR,DL
44243,490,Lee,William,85,JR,OL
44247,490,Lowrey,Patrick,42,JR,LB
44249,490,McCargo,John,90,JR,DL
44251,490,Moore,Chris,16,JR,QB
44253,490,Newby,James,78,JR,OL
44265,490,Williams,T.J.,80,SR,TE
44384,746,Brooks,Ahmad,34,JR,LB
44385,746,Butler,Brad,69,SR,OL
44389,746,Darden,Ron,64,JR,OL
44394,746,Evans,Lance,42,JR,OL
44395,746,Ferguson,D'Brickashaw,66,SR,OL
44396,746,Franklin,Tony,23,JR,RB
44399,746,Hamilton,Marcus,3,JR,CB
44401,746,Johnson,Michael,2,JR,RB
44402,746,Lundy,Wali,33,SR,RB
44405,746,Parham,Kai,44,JR,LB
44408,746,Smith,Kurt,8,SR,K
44409,746,Snelling,Jason,38,JR,FB
44426,796,Goode,Elliot,47,SR,LB
44427,796,Gorman,Mark,93,JR,DL
44428,796,Hampton,Zach,26,JR,DB
44430,796,Holzbauer,Jeff,85,JR,WR
44431,796,Joran,Paul,23,JR,LB
44436,796,Nellis,Joel,89,SR,TE
44439,796,Rowan,Levonne,21,SR,DB
44442,796,Stanley,Booker,32,JR,RB
44443,796,Stellmacher,Joe,16,JR,DB
44444,796,Stocco,John,7,JR,QB
44446,796,Watkins,LaMarr,24,SR,LB
44447,796,White,Brandon,8,SR,WR
44450,796,Williams,Brandon,1,SR,WR
44451,796,Zalewski,Mark,41,JR,LB
45295,473,Gaus,Tyler,25,SR,P
45335,8,Miller,Matt,37,SR,WR
45336,8,Brooks,Brandon,5,SR,WR
45338,8,Roach,Freddie,8,SR,LB
45342,8,Peprah,Charlie,26,SR,DB
45343,8,McLain,Greg,31,SR,TE
45344,8,Pennington,Spencer,13,SR,QB
45346,8,Darby,Ken,34,JR,RB
45348,8,Harper,Roman,41,SR,DB
45349,8,Garth,Juwan,42,JR,LB
45350,8,King,Juke,45,SR,LB
45351,8,McLaughlin,Mike,46,SR,K
45362,8,Long,Allen,46,JR,DL
45363,8,Anderson,Mark,47,SR,LB
45367,8,Ewing,Von,60,SR,OL
45370,8,Sanders,Mark,63,SR,OL
45373,8,Closner,J.B.,74,SR,OL
45375,8,Adams,J.P.,67,JR,DL
45377,8,McKnight,Marcus,82,JR,WR
45379,8,Tatum,Kyle,58,JR,OL
45381,8,Johnston,Clint,49,SR,TE
45382,8,Harris,Chris,91,JR,DL
45387,8,Clark,Jeremy,99,JR,DL
45550,29,Akinniyi,Akin,38,JR,LB
45551,29,Baugher,Danny,43,SR,P
45556,29,Folk,Nicholas,12,JR,K
45558,29,Means,Lamon,20,SR,DB
45561,29,Bell,Tanner,72,JR,OL
45567,29,Harris,Gilbert,36,SR,RB
45569,29,Jefferson,Mike,84,JR,WR
45571,29,McKinney,John,40,JR,LB
45574,29,Lefotu,Kili,66,SR,OL
45578,29,Philipp,Paul,56,JR,DL
45579,29,Smith,Marcus,55,JR,DL
45592,31,Balseiro,Chris,5A,SR,K
45595,31,Brown,Pierre,27,SR,LB
45601,31,Dickerson,Kyle,29,SR,RB
45603,31,Hicks,Jared,86,SR,TE
45605,31,Howard,De'Arrius,26,SR,RB
45611,31,Kennedy,Brandon,47,SR,RB
45614,31,Moore,Clarke,46,SR,LB
45615,31,Morgan,Tyler,68,JR,OL
45616,31,Murphy,Wes,89,SR,DL
45617,31,Olajubutu,Sam,24,JR,LB
45622,31,Pressley,Chase,60,JR,OL
45623,31,Robinson,Lerinezo,21,SR,WR
45624,31,Roper,Kyle,70,SR,OL
45626,31,Thompson,David,81,JR,WR
45627,31,Tubbs,Zac,69,JR,OL
45628,31,Ugoh,Tony,66,JR,OL
45629,31,Vaughn,Vickiel,31,SR,DB
45727,47,Bostic,Larry,19,SR,RB
45729,47,Brown,Mike,67,SR,OL
45732,47,Corpuz,Anthony,51,SR,LB
45737,47,Gater,David,25,SR,DB
45742,47,Kellar,Tom,92,SR,DL
45743,47,Keys,Erik,7,SR,DB
45744,47,Larimore,Riley,97,SR,DL
45745,47,Lynch,Joey,9,SR,QB
45750,47,Racine,Todd,8,SR,TE
45751,47,Rakestraw,Ricky,29,SR,DB
45753,47,Schneider,Justin,76,SR,OL
45755,47,Seiss,Brad,42,SR,LB
45758,51,Allred,Colin,34,SR,LB
45759,51,Andrews,Willie,18,SR,DB
45760,51,Arline,Anthony,6,JR,DB
45762,51,Bell,Shawn,11,JR,QB
45766,51,Farst,Travis,67,JR,OL
45767,51,Fields,J,88,SR,WR
45771,51,Mosley,Paul,17,JR,RB
45772,51,McDonald,Lequalan,77,SR,OL
45773,51,Parker,Jeremy,19,JR,P
45776,51,Shelton,Trent,1,JR,WR
45831,66,Alexander,Gerald,2,JR,DB
45836,66,Chuckovich,Ben,38,SR,LB
45837,66,Dominguez,Mike,74,JR,DL
45841,66,Hall,Korey,25,JR,LB
45845,66,Jones,Quinton,23,JR,DB
45846,66,Keating,Ryan,71,JR,OL
45847,66,Lau,Brad,34,JR,RB
45856,66,Volponi,Tony,70,JR,OL
45864,66,Zabransky,Jared,5,JR,QB
45866,67,Anam,Larry,9,SR,DB
45867,67,Beekman,Josh,75,JR,OL
45868,67,Berglund,Dan,54,SR,LB
45870,67,Brown,Ricky,55,SR,LB
45871,67,Burns,Jeff,53,JR,LB
45872,67,El Nokali,Karim,14,JR,QB
45873,67,Gonzalez,Tony,26,JR,WR
45874,67,Lilly,Jason,82,JR,WR
45875,67,Lynch,Paddy,47,JR,RB
45876,67,Marten,James,70,JR,OL
45877,67,Moore,Shadu,63,JR,OL
45878,67,Ottolini,Jake,51,JR,DL
45880,67,Ross,Survival,38,JR,RB
45881,67,Sele,Taylor,13,JR,WR
45884,67,Washington,Al,56,SR,DL
45885,67,Ziminski,Robert,91,JR,DL
45886,67,Blackmon,Will,1,SR,WR
46043,86,Baker,Michael,18,SR,K
46044,86,Berry,Kirk,53,SR,DL
46051,86,Dawson,Dave,22,SR,WR
46056,86,Jacques,Philip,37,SR,DL
46059,86,Leeper,Aaron,21,SR,DB
46060,86,Love,Zachary,74,SR,OL
46063,86,McDuffie,Chris,26,JR,RB
46067,86,Patterson,Jared,5,JR,RB
46070,86,Sampsel,Stewart,15,JR,QB
46071,86,Sanders,Aaron,49,SR,DL
46072,86,Sanders,Richard,99,SR,LB
46073,86,Schmidt,Tim,73,JR,OL
46074,86,Schifano,Mike,59,SR,OL
46075,86,Schroeder,Rob,62,SR,DL
46081,86,Vann,James,34,JR,LB
46084,86,Williams,Gemara,6,SR,DB
46085,86,Upshaw,Chad,80,JR,TE
46086,86,Watson,Brian,86,JR,WR
46087,86,Weissinger,Gerry,78,JR,OL
46237,107,Beegun,Eric,83,JR,TE
46241,107,Bundy,Randy,17,JR,WR
46248,107,Gray,David,4,JR,TE
46250,107,Green,Kenny,24,SR,DB
46254,107,Levy,Steve,3,JR,QB
46256,107,Manderino,Chris,27,SR,RB
46258,107,McCleskey,Donnie,21,SR,DB
46259,107,Merz,Aaron,65,SR,OL
46261,107,Mixon,Tim,22,JR,DB
46262,107,Murphy,Jonathan,60,SR,OL
46264,107,O'Keith,Marcus,2,JR,RB
46268,107,Robertson,Erik,75,JR,OL
46270,107,Smith,Scott,5B,JR,OL
46271,107,Storer,Byron,38,JR,RB
46276,107,Kelly,Steve,54,JR,DL
46277,107,Kunzi,Taylor,36,SR,K
46283,110,Chai,Robert,54,JR,OL
