10327,2012-11-03,66,626,42,L,19-21,7,1
10328,2012-11-17,66,156,42,W,42-14,8,2
10329,2013-09-07,66,695,42,W,63-14,0,1
10330,2013-09-13,66,721,42,W,42-20,1,1
10331,2013-09-28,66,664,42,W,60-7,2,2
10332,2013-10-19,66,466,42,W,34-17,4,2
10333,2013-11-16,66,811,42,W,48-7,6,3
10334,2013-11-30,66,473,42,W,45-17,7,4
10335,2014-09-06,66,156,42,W,37-24,0,1
10336,2014-09-20,66,671,42,W,34-9,2,1
10337,2014-10-17,66,96,42,W,37-27,4,2
10338,2014-10-24,66,77,42,W,55-30,5,2
10339,2014-11-15,66,626,42,W,38-29,7,2
10340,2014-11-29,66,731,42,W,50-19,9,2
10341,2014-12-06,66,96,42,W,28-14,10,2
10342,2015-09-04,66,756,42,W,16-13,0,0
10343,2015-10-03,66,277,42,W,55-0,3,1
10344,2015-10-24,66,811,42,W,34-14,5,2
10345,2015-11-14,66,473,42,L,24-31,7,2
10346,2015-11-20,66,721,42,L,30-37,7,3
10347,2016-09-10,66,754,42,W,31-28,1,0
10348,2016-10-01,66,731,42,W,21-10,3,0
10349,2016-10-15,66,156,42,W,28-23,5,0
10350,2016-10-20,66,77,42,W,28-27,6,0
10351,2016-11-04,66,630,42,W,45-31,7,1
10352,2016-11-18,66,465,42,W,42-25,9,1
10353,2017-09-02,66,716,42,W,24-13,0,0
10354,2017-09-14,66,473,42,W,28-14,1,1
10355,2017-09-22,66,746,42,L,23-42,2,1
10356,2017-10-21,66,811,42,W,24-14,4,2
10357,2017-11-18,66,721,42,W,44-19,8,2
10358,2018-09-08,66,164,42,W,62-7,1,0
10359,2018-10-06,66,626,42,L,13-19,3,1
10360,2018-10-19,66,156,42,W,56-28,4,2
10361,2018-11-03,66,77,42,W,21-16,6,2
10362,2018-11-09,66,96,42,W,24-17,7,2
10363,2018-11-24,66,731,42,W,33-24,9,2
10364,2000-09-14,77,430,134,L,28-44,1,2
10365,2000-09-23,77,465,134,W,10-7,1,3
10366,2000-10-06,77,731,134,W,38-14,2,4
10367,2000-10-21,77,626,134,L,15-16,3,4
10368,2000-10-26,77,811,134,W,19-7,3,5
10369,2000-11-18,77,473,134,W,37-13,4,6
10370,2001-08-25,77,718,134,W,70-35,0,0
10371,2001-09-01,77,466,134,W,52-7,1,0
10372,2001-10-05,77,731,134,W,54-34,4,0
10373,2001-10-20,77,721,134,W,63-33,6,0
10374,2001-11-01,77,156,134,W,56-34,8,0
10375,2001-11-17,77,732,134,W,24-21,10,0
10376,2002-08-29,77,688,134,W,42-21,0,0
10377,2002-09-06,77,277,134,W,35-32,1,0
10378,2002-10-19,77,465,134,L,3-24,3,3
10379,2002-11-02,77,626,134,W,34-10,3,5
10380,2002-11-09,77,811,134,W,35-31,4,5
10381,2002-11-16,77,473,134,L,16-20,5,5
10382,2003-08-28,77,255,134,W,24-13,0,0
10383,2003-09-20,77,674,134,L,14-18,2,1
10384,2003-09-27,77,721,134,L,10-24,2,2
10385,2003-10-09,77,156,134,L,13-58,3,3
10386,2003-10-30,77,66,134,L,12-50,4,5
10387,2003-11-22,77,732,134,L,0-3,4,7
10388,2004-09-04,77,513,134,W,20-17,0,0
10389,2004-09-18,77,657,134,L,10-42,1,1
10390,2004-10-08,77,465,134,L,20-24,2,3
10391,2004-10-16,77,811,134,W,24-13,2,4
10392,2004-11-06,77,626,134,W,49-16,4,4
10393,2004-11-13,77,473,134,L,14-21,5,4
10394,2005-09-03,77,67,134,L,3-20,0,0
10395,2005-09-10,77,201,134,W,45-10,0,1
10396,2005-09-24,77,698,134,L,50-51,1,1
10397,2005-10-15,77,156,134,W,24-14,2,3
10398,2005-10-29,77,721,134,W,62-41,3,4
10399,2005-11-19,77,732,134,L,34-41,6,4
10400,2006-09-09,77,719,134,W,49-24,0,1
10401,2006-09-23,77,731,134,W,38-0,1,2
10402,2006-10-07,77,626,134,W,47-17,3,2
10403,2006-10-21,77,465,134,W,52-7,4,2
10404,2006-11-09,77,811,134,W,55-7,7,2
10405,2006-11-18,77,473,134,W,42-17,8,2
10406,2007-09-01,77,29,134,W,20-7,0,0
10407,2007-09-22,77,721,134,W,31-6,1,2
10408,2007-10-20,77,207,134,W,42-7,4,2
10409,2007-11-03,77,156,134,W,35-16,5,2
10410,2007-11-08,77,698,134,W,27-22,6,2
10411,2007-11-24,77,732,134,W,17-10,8,2
10412,2008-08-30,77,504,134,W,41-17,0,0
10413,2008-09-13,77,110,134,W,59-0,2,0
10414,2008-09-20,77,811,134,W,44-0,3,0
10415,2008-10-11,77,473,134,W,21-3,5,0
10416,2008-10-25,77,465,134,W,42-35,6,1
10417,2008-11-08,77,626,134,W,41-12,8,1
10418,2009-09-19,77,234,134,L,28-54,2,0
10419,2009-09-26,77,156,134,W,42-23,2,1
10420,2009-10-02,77,731,134,W,35-17,3,1
10421,2009-10-24,77,698,134,L,7-38,6,1
10422,2009-11-21,77,721,134,W,38-21,8,2
10423,2009-11-28,77,732,134,W,26-23,9,2
10424,2010-09-04,77,756,134,W,23-17,0,0
10425,2010-09-25,77,466,134,L,13-27,1,2
10426,2010-10-09,77,626,134,W,24-21,1,4
10427,2010-10-23,77,811,134,W,25-20,2,5
10428,2010-11-06,77,465,134,W,55-7,3,5
